Date,Team,Notes,Year injured,Injured,Player
1/19/2016,Suns,returned to lineup,2016,1,Alex Len
1/20/2016,Heat,strained oblique (DTD),2016,1,Hassan Whiteside
1/20/2016,Knicks,returned to lineup,2016,1,Kevin Seraphin
1/20/2016,Nets,returned to lineup,2016,1,Andrea Bargnani
1/20/2016,Pelicans,surgery to repair fractured right ring finger (out indefinitely),2016,1,Eric Gordon
1/20/2016,Rockets,sprained left ankle (DTD),2016,1,Patrick Beverley
1/20/2016,Spurs,right hip injury (DTD),2016,1,Tony Parker
1/21/2016,Grizzlies,sore left knee (DTD),2016,1,Tony Allen
1/21/2016,Heat,hip injury (DTD),2016,1,Hassan Whiteside
1/21/2016,Hornets,strained right shoulder (DTD),2016,1,Cody Zeller
1/21/2016,Hornets,sprained right toe (DTD),2016,1,Nicolas Batum
1/21/2016,Kings,bruised left heel (DTD),2016,1,Rudy Gay
1/21/2016,Rockets,sprained left ankle (DTD),2016,1,Dwight Howard
1/21/2016,Suns,strained left abductor (P) / adductor (CBC) (DTD),2016,1,Brandon Knight
1/21/2016,Suns,strained right shoulder (DTD),2016,1,Markieff Morris
1/21/2016,Suns,sprained left ankle (DTD),2016,1,Mirza Teletovic
1/21/2016,Suns,bruised chest (left game),2016,1,P.J. Tucker
1/22/2016,Celtics,ankle injury (already on IL),2016,1,Jordan Mickey
1/22/2016,Heat,strained left hip (DTD),2016,1,Hassan Whiteside
1/22/2016,Heat,scratched eye (DTD),2016,1,Luol Deng
1/22/2016,Hornets,returned to lineup,2016,1,Jeremy Lamb
1/22/2016,Pacers,sprained left ankle (DTD),2016,1,Ian Mahinmi
1/22/2016,Rockets,bruised shoulder (DTD),2016,1,Montrezl Harrell
1/22/2016,Thunder,sprained right elbow (DTD),2016,1,Steven Adams
1/22/2016,Warriors,returned as head coach,2016,1,Steve Kerr
1/23/2016,Nuggets,sore left abductor / adductor (DTD),2016,1,Kenneth Faried
1/23/2016,Pelicans,illness (DTD),2016,1,Dante Cunningham
1/23/2016,Suns,returned to lineup,2016,1,Mirza Teletovic
1/23/2016,Rockets,returned to lineup,2016,1,Montrezl Harrell
1/24/2016,76ers,returned to lineup,2016,1,Nik Stauskas
1/24/2016,Mavericks,sore shoulder (DTD),2016,1,Jeremy Evans
1/24/2016,Spurs,sore right knee (DTD),2016,1,Tim Duncan
1/25/2016,Bucks,returned as head coach,2016,1,Jason Kidd
1/25/2016,Bulls,strained right hamstring (DTD),2016,1,E'Twaun Moore
1/25/2016,Grizzlies,returned to lineup,2016,1,Tony Allen
1/25/2016,Heat,returned to lineup,2016,1,Beno Udrih
1/25/2016,Heat,returned to lineup,2016,1,Luol Deng
1/25/2016,Jazz,returned to lineup,2016,1,Derrick Favors
1/25/2016,Kings,returned to lineup,2016,1,Rudy Gay
1/25/2016,Knicks,sore left knee (DTD),2016,1,Carmelo Anthony
1/25/2016,Lakers,illness (DTD),2016,1,Ryan Kelly
1/25/2016,Nuggets,returned to lineup,2016,1,Kenneth Faried
1/25/2016,Pelicans,concussion (DTD),2016,1,Anthony Davis
1/25/2016,Pelicans,returned to lineup,2016,1,Dante Cunningham
1/25/2016,Thunder,sprained right knee (DTD),2016,1,Andre Roberson
1/25/2016,Timberwolves,sore right wrist (DTD),2016,1,Kevin Martin
1/25/2016,Wizards,returned to lineup,2016,1,Otto Porter Jr.
1/25/2016,Grizzlies,returned to lineup,2016,1,Jarell Martin
1/26/2016,76ers,upper respiratory infection (DTD),2016,1,JaKarr Sampson
1/26/2016,Clippers,fractured right hand (off court injury) (out indefinitely),2016,1,Blake Griffin
1/26/2016,Kings,left eye injury (DTD),2016,1,Rudy Gay
1/26/2016,Knicks,returned to lineup,2016,1,Lance Thomas
1/26/2016,Suns,returned to lineup,2016,1,Markieff Morris
1/26/2016,Thunder,returned to lineup,2016,1,Steven Adams
1/27/2016,Bulls,surgery to remove appendix (out indefinitely),2016,1,Nikola Mirotic
1/27/2016,Hornets,sprained right ankle (DTD),2016,1,Jeremy Lin
1/27/2016,Nuggets,infection in right toe (DTD),2016,1,Joffrey Lauvergne
1/27/2016,Thunder,concussion (DTD),2016,1,Cameron Payne
1/28/2016,Blazers,bone bruise in left ankle (DTD),2016,1,Pat Connaughton
1/28/2016,Bucks,sore lower back (DTD),2016,1,John Henson
1/28/2016,Bulls,recovering from surgery to remove appendix (DTD),2016,1,Nikola Mirotic
1/28/2016,Bulls,returned to lineup,2016,1,E'Twaun Moore
1/28/2016,Hawks,sprained left ankle (DTD),2016,1,Paul Millsap
1/28/2016,Knicks,sore right groin (DTD),2016,1,Jose Calderon
1/28/2016,Knicks,upper respiratory illness (DTD),2016,1,Kristaps Porzingis
1/28/2016,Lakers,returned to lineup,2016,1,Ryan Kelly
1/28/2016,Pelicans,right knee injury (out for season),2016,1,Tyreke Evans
1/29/2016,Clippers,rest (DTD),2016,1,Paul Pierce
1/29/2016,Knicks,returned to lineup,2016,1,Kristaps Porzingis
1/30/2016,76ers,returned to lineup,2016,1,JaKarr Sampson
1/30/2016,Kings,sprained left ankle (DTD),2016,1,DeMarcus Cousins
1/30/2016,Kings,gastroenteritis (DTD),2016,1,Marco Belinelli
1/30/2016,Pacers,sore lower back (DTD),2016,1,Ian Mahinmi
1/30/2016,Pistons,thigh injury (DTD),2016,1,Ersan Ilyasova
1/30/2016,Warriors,rest (DTD),2016,1,Andre Iguodala
1/31/2016,Bulls,returned to lineup,2016,1,Kirk Hinrich
1/31/2016,Suns,fractured right foot (out for season),2016,1,T.J. Warren
1/31/2016,Warriors,returned to lineup,2016,1,Andre Iguodala
2/1/2016,Grizzlies,right hamstring injury (DTD),2016,1,Matt Barnes
2/1/2016,Kings,sore/sprained right wrist (DTD),2016,1,Ben McLemore
2/1/2016,Kings,returned to lineup,2016,1,Marco Belinelli
2/1/2016,Mavericks,bruised hip (DTD),2016,1,Deron Williams
2/1/2016,Pistons,returned to lineup,2016,1,Ersan Ilyasova
2/2/2016,Blazers,returned to lineup,2016,1,Pat Connaughton
2/2/2016,Rockets,strained left hip flexor (DTD),2016,1,Clint Capela
2/2/2016,Rockets,illness (DTD),2016,1,Montrezl Harrell
2/3/2016,Bulls,left knee tendinitis (DTD),2016,1,Jimmy Butler
2/3/2016,Heat,surgery on left shoulder (out indefinitely),2016,1,Tyler Johnson
2/3/2016,Hornets,sore left knee (DTD),2016,1,Kemba Walker
2/3/2016,Kings,returned to lineup,2016,1,Ben McLemore
2/3/2016,Kings,returned to lineup,2016,1,DeMarcus Cousins
2/3/2016,Nuggets,sore left quadricep (DTD),2016,1,Darrell Arthur
2/4/2016,Pistons,strained groin (CBC) / strained core muscle (P) (DTD),2016,1,Kentavious Caldwell-Pope
2/4/2016,Rockets,returned to lineup,2016,1,Clint Capela
2/4/2016,Spurs,surgery to repair testicle injury (out indefinitely),2016,1,Manu Ginobili
2/4/2016,Rockets,sore lower back (DTD),2016,1,Sam Dekker
2/5/2016,Bulls,sprained left hand (DTD),2016,1,Pau Gasol
2/5/2016,Bulls,returned to lineup,2016,1,Jimmy Butler
2/5/2016,Clippers,fractured left hand (DTD),2016,1,Austin Rivers
2/5/2016,Hornets,returned to lineup,2016,1,Kemba Walker
2/5/2016,Knicks,concussion (DTD),2016,1,Lance Thomas
2/5/2016,Magic,sore left ankle (DTD),2016,1,Tobias Harris
2/6/2016,76ers,sprained left ankle (DTD),2016,1,Ish Smith
2/6/2016,Blazers,illness (DTD),2016,1,Allen Crabbe
2/6/2016,Bulls,sprained left knee (DTD),2016,1,Jimmy Butler
2/6/2016,Bulls,returned to lineup,2016,1,Pau Gasol
2/6/2016,Cavaliers,bruised left quadriceps (DTD),2016,1,Kevin Love
2/6/2016,Jazz,flu (DTD),2016,1,Trey Burke
2/6/2016,Spurs,sore/strained left calf (DTD),2016,1,Matt Bonner
2/7/2016,Kings,sprained right wrist (DTD),2016,1,Ben McLemore
2/7/2016,Kings,sprained left ankle (DTD),2016,1,Rudy Gay
2/8/2016,76ers,returned to lineup,2016,1,Ish Smith
2/8/2016,Bulls,general soreness (DTD),2016,1,Derrick Rose
2/8/2016,Cavaliers,returned to lineup,2016,1,Kevin Love
2/8/2016,Grizzlies,fractured right foot (out for season),2016,1,Marc Gasol
2/8/2016,Nets,illness (DTD),2016,1,Sergey Karasev
2/8/2016,Warriors,surgery on left knee to remove loose bodies (out indefinitely),2016,1,Festus Ezeli
2/9/2016,Nets,sore groin (DTD) (Y),2016,1,Willie Reed
2/9/2016,Spurs,illness (DTD),2016,1,Kyle Anderson
2/9/2016,Spurs,strained left calf (DTD),2016,1,Matt Bonner
2/10/2016,76ers,right knee patella tendinitis (DTD),2016,1,Nerlens Noel
2/10/2016,Magic,back spasms (DTD),2016,1,Jason Smith
2/10/2016,Nets,returned to lineup,2016,1,Sergey Karasev
2/10/2016,Pistons,illness (DTD),2016,1,Ersan Ilyasova
2/10/2016,Pistons,fractured nose (DTD),2016,1,Reggie Bullock
2/10/2016,Pistons,illness (DTD),2016,1,Reggie Jackson 
2/10/2016,Pistons,sore ankle (DTD),2016,1,Spencer Dinwiddie
2/10/2016,Spurs,left ankle injury (DTD),2016,1,Tony Parker
2/10/2016,Spurs,returned to lineup,2016,1,Kyle Anderson
2/11/2016,Hornets,torn labrum in right shoulder (out for season),2016,1,Michael Kidd-Gilchrist
2/11/2016,Pelicans,surgery on right knee (out for season),2016,1,Tyreke Evans
2/16/2016,Hawks,surgery on right hip (out for season) (date approximate),2016,1,Tiago Splitter
2/17/2016,Heat,blood clots (out for season),2016,1,Chris Bosh
2/18/2016,Bucks,hyperextended knee (DTD),2016,1,Jerryd Bayless
2/18/2016,Celtics,bruised right shoulder (DTD),2016,1,Kelly Olynyk
2/18/2016,Clippers,illness (DTD),2016,1,Pablo Prigioni
2/18/2016,Hornets,strained lower back (DTD),2016,1,Spencer Hawes
2/18/2016,Jazz,returned to lineup,2016,1,Trey Burke
2/18/2016,Spurs,tightness in left calf (DTD),2016,1,Kawhi Leonard
2/18/2016,Spurs,returned to lineup,2016,1,Tony Parker
2/18/2016,Timberwolves,sore/strained right foot (DTD),2016,1,Nemanja Bjelica
2/19/2016,76ers,returned to lineup,2016,1,Nerlens Noel
2/19/2016,Bucks,sprained left knee (DTD),2016,1,Jerryd Bayless
2/19/2016,Heat,sore left knee (DTD),2016,1,Dwyane Wade
2/19/2016,Kings,tooth extraction (DTD),2016,1,Marco Belinelli
2/19/2016,Kings,wisdom tooth extraction (DTD),2016,1,Omri Casspi
2/19/2016,Magic,returned to lineup,2016,1,Ersan Ilyasova
2/19/2016,Magic,returned to lineup,2016,1,Jason Smith
2/19/2016,Nuggets,returned to lineup,2016,1,Darrell Arthur
2/19/2016,Pacers,illness (DTD),2016,1,C.J. Miles
2/19/2016,Pistons,returned to lineup,2016,1,Kentavious Caldwell-Pope
2/19/2016,Pistons,returned to lineup,2016,1,Reggie Bullock
2/19/2016,Pistons,returned to lineup,2016,1,Reggie Jackson 
2/19/2016,Rockets,back injury (DTD),2016,1,Donatas Motiejunas
2/19/2016,Suns,sprained right ankle (DTD),2016,1,Alex Len
2/19/2016,Timberwolves,returned to lineup,2016,1,Kevin Martin
2/19/2016,Rockets,returned to lineup (CBC),2016,1,Sam Dekker
2/19/2016,Mavericks,undisclosed (DTD) (CBC),2016,1,John Jenkins
2/20/2016,Clippers,returned to lineup,2016,1,Pablo Prigioni
2/20/2016,Warriors,strained right Achilles (DTD),2016,1,Andrew Bogut
2/21/2016,Cavaliers,sprained left shoulder (DTD),2016,1,Iman Shumpert
2/21/2016,Cavaliers,knee injury (DTD),2016,1,Mo Williams
2/21/2016,Mavericks,returned to lineup,2016,1,John Jenkins
2/21/2016,Pacers,returned to lineup,2016,1,C.J. Miles
2/21/2016,Suns,bruised right shoulder (DTD),2016,1,Tyson Chandler
2/22/2016,Pacers,strained left calf (DTD),2016,1,C.J. Miles
2/22/2016,Pistons,sprained MCL in right knee (DTD),2016,1,Anthony Tolliver
2/22/2016,Warriors,returned to lineup,2016,1,Andrew Bogut
2/23/2016,Grizzlies,surgery on right foot to repair fracture (out for season),2016,1,Marc Gasol
2/23/2016,Nuggets,knee injury (DTD),2016,1,Jusuf Nurkic
2/23/2016,Pelicans,sprained right ankle (DTD),2016,1,Omer Asik
2/24/2016,76ers,sprained right ankle (DTD),2016,1,T.J. McConnell
2/24/2016,Bulls,right hamstring tendinitis (DTD),2016,1,Derrick Rose
2/24/2016,Cavaliers,returned to lineup,2016,1,Mo Williams
2/24/2016,Pistons,sprained right shoulder (DTD),2016,1,Stanley Johnson
2/24/2016,Spurs,returned to lineup,2016,1,Kawhi Leonard
2/24/2016,Heat,torn plantar plate in right foot (DTD),2016,1,Beno Udrih
2/24/2016,Heat,surgery on right foot to repair torn plantar plate (out for season) (date approximate),2016,1,Beno Udrih
2/25/2016,Cavaliers,left knee chondromalacia (DTD),2016,1,Mo Williams
2/25/2016,Pelicans,fractured right wrist (surgery) (out for season),2016,1,Bryce Dejean-Jones
2/25/2016,Rockets,sprained right ankle / foot (CBC) (DTD),2016,1,Clint Capela
2/25/2016,Suns,returned to lineup,2016,1,Tyson Chandler
2/26/2016,76ers,returned to lineup,2016,1,T.J. McConnell
2/26/2016,Cavaliers,left knee injury (DTD),2016,1,Mo Williams
2/26/2016,Cavaliers,returned to lineup,2016,1,Iman Shumpert
2/26/2016,Kings,right thumb tendinitis (DTD),2016,1,Rajon Rondo
2/27/2016,Heat,recovering from surgery on right foot to repair torn plantar plate (DTD),2016,1,Beno Udrih
2/27/2016,Heat,illness (DTD),2016,1,Udonis Haslem
2/27/2016,Pelicans,right big toe injury (DTD),2016,1,Anthony Davis
2/28/2016,76ers,upper respiratory infection (DTD),2016,1,Hollis Thompson
2/28/2016,Bucks,sprained MCL in left knee (out for season),2016,1,Steve Novak
2/28/2016,Cavaliers,rest (DTD),2016,1,LeBron James
2/28/2016,Knicks,knee injury (DTD),2016,1,Arron Afflalo
2/28/2016,Knicks,upper respiratory illness (DTD) (CBC Y),2016,1,Lou Amundson
2/28/2016,Raptors,rest (DTD),2016,1,Kyle Lowry
2/29/2016,76ers,bruised right shin (DTD),2016,1,Jahlil Okafor
2/29/2016,Bucks,patella tendinitis in left knee (DTD),2016,1,Michael Carter-Williams
2/29/2016,Bucks,returned to lineup,2016,1,Jerryd Bayless
2/29/2016,Cavaliers,sore leg (DTD),2016,1,Kevin Love
2/29/2016,Cavaliers,returned to lineup,2016,1,LeBron James
2/29/2016,Clippers,lacerated left eyelid (DTD),2016,1,Luc Mbah a Moute
2/29/2016,Kings,strained right shoulder (DTD),2016,1,Rudy Gay
2/29/2016,Kings,sprained right foot (DTD),2016,1,Seth Curry
3/1/2016,Heat,returned to lineup,2016,1,Udonis Haslem
3/1/2016,Knicks,returned to lineup,2016,1,Arron Afflalo
3/1/2016,Warriors,left ankle injury (DTD),2016,1,Stephen Curry
3/2/2016,76ers,gastroenteritis (DTD) (CBC),2016,1,Elton Brand
3/2/2016,Bulls,strained right hamstring (DTD),2016,1,Taj Gibson
3/2/2016,Raptors,returned to lineup,2016,1,Kyle Lowry
3/3/2016,Pelicans,fractured sternum (DTD),2016,1,Alex Ajinca
3/4/2016,76ers,upper respiratory infection (DTD),2016,1,Kendall Marshall
3/4/2016,76ers,bruised right knee (DTD),2016,1,Nerlens Noel
3/4/2016,76ers,returned to lineup (CBC),2016,1,Elton Brand
3/4/2016,Lakers,knee injury (DTD),2016,1,Jordan Clarkson
3/4/2016,Pacers,knee injury (DTD),2016,1,Joe Young
3/5/2016,Bulls,returned to lineup,2016,1,Taj Gibson
3/5/2016,Kings,food poisoning (DTD),2016,1,Kosta Koufos
3/5/2016,Knicks,bruised lower left leg (DTD),2016,1,Kristaps Porzingis
3/5/2016,Lakers,stress reaction in right foot (out for season),2016,1,Anthony Brown
3/5/2016,Pelicans,returned to lineup,2016,1,Omer Asik
3/5/2016,Spurs,rest (DTD),2016,1,Danny Green
3/6/2016,Lakers,returned to lineup,2016,1,Jordan Clarkson
3/6/2016,Pelicans,bruised left shin (DTD),2016,1,Luke Babbitt
3/6/2016,Warriors,sore/tight left hamstring (DTD),2016,1,Andre Iguodala
3/7/2016,Bucks,torn labrum in left hip (out for season),2016,1,Michael Carter-Williams
3/7/2016,Bulls,strained/swollen left knee (DTD),2016,1,Jimmy Butler
3/7/2016,Grizzlies,left shoulder subluxation (DTD),2016,1,Chris Andersen
3/7/2016,Grizzlies,hamstring injury (DTD),2016,1,Matt Barnes
3/7/2016,Grizzlies,left Achilles tendinitis (out for season),2016,1,Mike Conley Jr.
3/7/2016,Grizzlies,sore right knee (DTD),2016,1,Zach Randolph
3/7/2016,Kings,returned to lineup,2016,1,Kosta Koufos
3/7/2016,Magic,strained right groin (DTD),2016,1,Nikola Vucevic
3/7/2016,Pacers,sore left knee (DTD),2016,1,Lavoy Allen
3/7/2016,Pelicans,fractured right ring finger (out for season),2016,1,Eric Gordon
3/7/2016,Wizards,sore hip (DTD),2016,1,Bradley Beal
3/8/2016,Bulls,swollen eye (DTD),2016,1,Bobby Portis
3/8/2016,Knicks,sprained MCL in left knee (out for season),2016,1,Lance Thomas
3/8/2016,Lakers,sore right shoulder (DTD),2016,1,Kobe Bryant
3/8/2016,Pelicans,surgery to repair fractured right ring finger (out for season),2016,1,Eric Gordon
3/8/2016,Spurs,bruised left toe (DTD),2016,1,Tony Parker
3/9/2016,76ers,returned to lineup,2016,1,Kendall Marshall
3/9/2016,Bucks,recovering from surgery on left hip to repair torn labrum (out for season),2016,1,Michael Carter-Williams
3/9/2016,Bucks,stomach virus (DTD),2016,1,O.J. Mayo
3/9/2016,Cavaliers,illness (DTD),2016,1,Timofey Mozgov
3/9/2016,Grizzlies,ruptured right Achilles tendon (out for season),2016,1,Mario Chalmers
3/9/2016,Jazz,sore lower back (DTD),2016,1,Rodney Hood
3/9/2016,Kings,fractured right ring finger (DTD),2016,1,Ben McLemore
3/9/2016,Kings,back spasms (DTD),2016,1,Marco Belinelli
3/9/2016,Knicks,strained right abdominal muscle (DTD),2016,1,Arron Afflalo
3/9/2016,Pelicans,lower back injury (out for season),2016,1,Norris Cole 
3/9/2016,Pelicans,returned to lineup,2016,1,Luke Babbitt
3/10/2016,Bucks,surgery on left hip to repair torn labrum (out for season),2016,1,Michael Carter-Williams
3/10/2016,Cavaliers,left knee injury (DTD),2016,1,Kevin Love
3/10/2016,Cavaliers,returned to lineup,2016,1,Timofey Mozgov
3/10/2016,Bucks,fractured right ankle (out for season),2016,1,O.J. Mayo
3/11/2016,Bulls,strained left abductor (P) / adductor (CBC Y) (DTD),2016,1,Derrick Rose
3/11/2016,Clippers,sore right big toe (DTD),2016,1,Paul Pierce
3/11/2016,Magic,sprained right elbow (DTD),2016,1,Elfrid Payton
3/11/2016,Pistons,returned to lineup,2016,1,Anthony Tolliver
3/11/2016,Pistons,returned to lineup,2016,1,Stanley Johnson
3/11/2016,Timberwolves,returned to lineup,2016,1,Nemanja Bjelica
3/12/2016,76ers,concussion (DTD),2016,1,Jerami Grant
3/12/2016,76ers,strained right Achilles tendon (DTD),2016,1,Richaun Holmes
3/12/2016,76ers,concussion (DTD),2016,1,Robert Covington
3/12/2016,Grizzlies,strained left calf (DTD),2016,1,Vince Carter
3/12/2016,Hawks,returned to lineup,2016,1,Mike Scott
3/12/2016,Heat,thigh injury (DTD),2016,1,Dwyane Wade
3/12/2016,Magic,sore left Achilles (DTD),2016,1,Brandon Jennings
3/12/2016,Pacers,sprained left foot (DTD),2016,1,Ty Lawson
3/12/2016,Pacers,returned to lineup,2016,1,Lavoy Allen
3/12/2016,Rockets,sore back (out for season),2016,1,Sam Dekker
3/12/2016,Warriors,sprained left ankle (DTD),2016,1,Andre Iguodala
3/13/2016,Clippers,returned to lineup,2016,1,Luc Mbah a Moute
3/13/2016,Knicks,stomach illness/virus (DTD),2016,1,Kristaps Porzingis
3/13/2016,Nets,upper respiratory infection (DTD),2016,1,Wayne Ellington
3/13/2016,Pacers,returned to lineup,2016,1,Joe Young
3/14/2016,Bulls,stomach virus (DTD),2016,1,Mike Dunleavy Jr.
3/14/2016,Celtics,sprained right ankle (DTD),2016,1,Jae Crowder
3/14/2016,Grizzlies,sprained right wrist (DTD),2016,1,Lance Stephenson
3/14/2016,Jazz,plantar faciitis in right foot (DTD),2016,1,Gordon Hayward
3/14/2016,Mavericks,right shoulder injury (DTD) (CBC Y),2016,1,Jeremy Evans
3/14/2016,Nets,sore left knee (DTD),2016,1,Willie Reed
3/14/2016,Nuggets,sore left knee (DTD),2016,1,Jusuf Nurkic
3/15/2016,Bucks,returned to lineup,2016,1,John Henson
3/15/2016,Magic,returned to lineup,2016,1,Brandon Jennings
3/15/2016,Nets,returned to lineup,2016,1,Wayne Ellington
3/15/2016,Pacers,upper respiratory infection (DTD),2016,1,C.J. Miles
3/15/2016,Raptors,rest (DTD),2016,1,DeMar DeRozan
3/15/2016,Raptors,bruised left hand (DTD),2016,1,Jonas Valanciunas
3/16/2016,Blazers,dislocated left shoulder (out for season),2016,1,Meyers Leonard
3/16/2016,Bulls,back injury (DTD),2016,1,Cameron Bairstow
3/16/2016,Bulls,returned to lineup,2016,1,Mike Dunleavy Jr.
3/16/2016,Clippers,returned to lineup,2016,1,Paul Pierce
3/16/2016,Grizzlies,returned to lineup,2016,1,Lance Stephenson
3/16/2016,Kings,sore right ankle (DTD),2016,1,Marco Belinelli
3/16/2016,Kings,sprained right thumb / sprained toe (CBC Y) (DTD),2016,1,Rajon Rondo
3/16/2016,Magic,sprained left knee (DTD),2016,1,Ersan Ilyasova
3/16/2016,Pistons,returned to lineup,2016,1,Spencer Dinwiddie
3/17/2016,Bulls,left hamstring injury (DTD),2016,1,E'Twaun Moore
3/17/2016,Hawks,bone bruise in right knee (DTD),2016,1,Kent Bazemore
3/17/2016,Knicks,knee injury (out for season),2016,1,Tony Wroten Jr.
3/17/2016,Mavericks,arthroscopic surgery on right shoulder to repair torn labrum (out for season),2016,1,Jeremy Evans
3/17/2016,Nuggets,sore lower back (DTD),2016,1,Kenneth Faried
3/17/2016,Raptors,returned to lineup,2016,1,DeMar DeRozan
3/17/2016,Pacers,sprained left foot (DTD) (P),2016,1,Ty Lawson
3/17/2016,Pacers,returned to lineup,2016,1,Ty Lawson
3/18/2016,Kings,sore left ankle (DTD),2016,1,Omri Casspi
3/18/2016,Kings,illness (DTD),2016,1,Willie Cauley-Stein
3/18/2016,Mavericks,sore right knee (out for season),2016,1,Chandler Parsons
3/18/2016,Raptors,sore left ankle (DTD),2016,1,Patrick Patterson
3/19/2016,Clippers,lacerated forehead (DTD),2016,1,Jeff Green
3/19/2016,Grizzlies,returned to lineup,2016,1,Vince Carter
3/19/2016,Grizzlies,returned to lineup,2016,1,Zach Randolph
3/19/2016,Hawks,returned to lineup,2016,1,Kent Bazemore
3/19/2016,Jazz,returned to lineup,2016,1,Gordon Hayward
3/19/2016,Nets,virus (DTD),2016,1,Brook Lopez
3/19/2016,Nets,returned to lineup,2016,1,Willie Reed
3/19/2016,Pelicans,left knee injury and torn labrum in left shoulder (out for season),2016,1,Anthony Davis
3/19/2016,Thunder,sore lower back (DTD),2016,1,Kyle Singler
3/19/2016,Warriors,left foot / toe (CBC) injury (DTD),2016,1,Andrew Bogut
3/20/2016,76ers,strained right Achilles tendon (DTD) (P),2016,1,Richaun Holmes
3/20/2016,Knicks,migraine headache (DTD),2016,1,Carmelo Anthony
3/20/2016,Knicks,sore left foot (DTD),2016,1,Kevin Seraphin
3/20/2016,Pelicans,left groin injury / sports hernia (out for season),2016,1,Ryan Anderson
3/20/2016,Pelicans,returned to lineup,2016,1,Alex Ajinca
3/20/2016,Raptors,returned to lineup,2016,1,Jonas Valanciunas
3/21/2016,Cavaliers,illness (DTD),2016,1,Kevin Love
3/22/2016,76ers,arthroscopic surgery on right knee to repair torn meniscus (out for season),2016,1,Jahlil Okafor
3/22/2016,Grizzlies,returned to lineup,2016,1,Chris Andersen
3/22/2016,Hornets,sprained left ankle (DTD),2016,1,Marvin Williams
3/22/2016,Lakers,sore right knee (DTD),2016,1,Larry Nance Jr.
3/22/2016,Nets,returned to lineup,2016,1,Brook Lopez
3/23/2016,76ers,gastroententis (DTD),2016,1,Kendall Marshall
3/23/2016,76ers,returned to lineup,2016,1,Robert Covington
3/23/2016,Bucks,sprained MCL in left knee (out for season) (P),2016,1,Steve Novak
3/23/2016,Clippers,returned to lineup,2016,1,Jeff Green
3/23/2016,Heat,sore left quadriceps (DTD),2016,1,Luol Deng
3/23/2016,Kings,bruised right knee (DTD),2016,1,DeMarcus Cousins
3/23/2016,Lakers,returned to lineup,2016,1,Larry Nance Jr.
3/23/2016,Pistons,illness (DTD),2016,1,Kentavious Caldwell-Pope
3/23/2016,Pistons,illness (DTD),2016,1,Reggie Bullock
3/23/2016,Raptors,sore right elbow (DTD),2016,1,Kyle Lowry
3/23/2016,Spurs,bruised right quadriceps (DTD),2016,1,Kawhi Leonard
3/23/2016,Suns,back spasms / sore back (DTD),2016,1,Tyson Chandler
3/23/2016,76ers,returned to lineup,2016,1,Richaun Holmes
3/24/2016,Bulls,swelling in right knee (DTD),2016,1,Pau Gasol
3/24/2016,Pacers,bruised lower right leg (DTD),2016,1,Paul George
3/24/2016,Pelicans,surgery on left knee (out for season),2016,1,Anthony Davis
3/24/2016,Pelicans,left toe injury (DTD),2016,1,Jrue Holiday
3/25/2016,Grizzlies,sprained right ankle (DTD),2016,1,Zach Randolph
3/25/2016,Hornets,returned to lineup,2016,1,Marvin Williams
3/25/2016,Magic,sprained right SC joint / collarbone (DTD),2016,1,Ersan Ilyasova
3/25/2016,Magic,sore right wrist (DTD),2016,1,Victor Oladipo
3/25/2016,Mavericks,surgery on right knee to repair medial meniscus (out for season),2016,1,Chandler Parsons
3/25/2016,Mavericks,strained left abdominal / sports hernia (DTD),2016,1,Deron Williams
3/25/2016,Spurs,rest (DTD),2016,1,Patty Mills
3/25/2016,Suns,upset stomach (DTD),2016,1,Brandon Knight
3/25/2016,Warriors,right hip injury (out for season),2016,1,Kevon Looney
3/26/2016,Spurs,rest (DTD),2016,1,Tony Parker
3/26/2016,Spurs,rest (DTD),2016,1,Manu Ginobili
3/26/2016,Spurs,rest (DTD),2016,1,LaMarcus Aldridge
3/26/2016,Suns,upset stomach (DTD),2016,1,Jon Leuer
3/27/2016,76ers,strained right Achilles tendon (out for season),2016,1,Richaun Holmes
3/27/2016,Kings,sore right foot (out for season),2016,1,Marco Belinelli
3/27/2016,Warriors,rest (DTD),2016,1,Shaun Livingston
3/27/2016,Wizards,sore groin (DTD) (Y),2016,1,Alan Anderson
3/27/2016,Wizards,strained right calf (DTD),2016,1,Markieff Morris
3/28/2016,76ers,sore knee (DTD),2016,1,Jerami Grant
3/28/2016,Heat,illness (DTD),2016,1,Goran Dragic
3/28/2016,Kings,rest (DTD),2016,1,DeMarcus Cousins
3/28/2016,Kings,rest (DTD),2016,1,Rajon Rondo
3/28/2016,Kings,rest (DTD),2016,1,Rudy Gay
3/28/2016,Lakers,sore knee (DTD),2016,1,Larry Nance Jr.
3/28/2016,Pelicans,returned to lineup,2016,1,Jrue Holiday
3/28/2016,Spurs,rest (DTD),2016,1,David West
3/28/2016,Spurs,returned to lineup,2016,1,LaMarcus Aldridge
3/29/2016,76ers,bruised right knee (DTD),2016,1,Jerami Grant
3/29/2016,Clippers,sprained right ankle (DTD),2016,1,Paul Pierce
3/29/2016,Hornets,sore lower back (DTD),2016,1,Jeremy Lin
3/29/2016,Magic,returned to lineup,2016,1,Victor Oladipo
3/29/2016,Pelicans,torn right quadricep (out for season),2016,1,Alonzo Gee
3/29/2016,Pelicans,fractured right interior orbital wall (out for season),2016,1,Jrue Holiday
3/29/2016,Thunder,rest (DTD),2016,1,Kevin Durant
